MSGTIME,LONGTD,LATTD,FL,SPDX,SPDY,SPDZ
20240906103946172,104.714371,31.596395,1226,5,49,0
20240906103947048,104.714424,31.596025,1226,5,49,0
20240906103949143,104.714569,31.595076,1226,5,49,0
20240906103950330,104.714622,31.594522,1226,5,49,0
20240906103950767,104.714645,31.594303,1226,5,49,0
20240906103953611,104.714813,31.59309,1226,4,49,0
20240906103955486,104.714897,31.592237,1234,4,48,1
20240906103956361,104.714951,31.591915,1234,4,48,1
20240906103956787,104.714973,31.591696,1234,4,47,2
20240906103957381,104.714973,31.591417,1242,4,47,2
20240906103957880,104.715004,31.591228,1234,4,47,2
20240906103958349,104.715004,31.591047,1234,4,47,1
20240906103958913,104.715057,31.590773,1242,4,47,1
20240906103959351,104.715088,31.59058,1242,4,47,0
20240906104001005,104.715141,31.589884,1234,4,47,0
20240906104001474,104.715164,31.589674,1234,4,47,0
20240906104001879,104.715218,31.589491,1234,4,47,0
20240906104002383,104.715195,31.589277,1234,4,47,0
20240906104003475,104.715271,31.588804,1234,4,47,0
20240906104005079,104.715378,31.588118,1234,4,47,0
20240906104006766,104.715431,31.587431,1234,4,48,0
20240906104007204,104.715469,31.587179,1234,4,48,0
20240906104008110,104.715485,31.586788,1234,4,48,0
20240906104008578,104.71553,31.586573,1234,4,48,0
20240906104009111,104.715538,31.58638,1234,4,48,0
20240906104009546,104.715538,31.586193,1234,4,48,0
20240906104010047,104.715584,31.585972,1234,4,48,0
20240906104010550,104.715591,31.585735,1234,3,48,0
20240906104012986,104.715691,31.584621,1226,3,49,1
20240906104013485,104.715698,31.584412,1226,4,49,0
20240906104016424,104.715851,31.58313,1226,4,49,0
20240906104016984,104.715851,31.58285,1226,4,49,0
20240906104017517,104.715912,31.582624,1226,4,49,0
20240906104018109,104.715912,31.582352,1226,4,49,0
20240906104018641,104.715965,31.582153,1226,4,48,0
20240906104020797,104.716019,31.581177,1234,4,47,1
20240906104021328,104.716072,31.580978,1234,4,47,1
20240906104021860,104.716072,31.5807,1234,4,47,1
20240906104020797,104.716019,31.581177,1234,4,47,1
20240906104021328,104.716072,31.580978,1234,4,47,1
20240906104021860,104.716072,31.5807,1234,4,47,1
20240906104022799,104.716125,31.580339,1234,4,47,1
20240906104023235,104.716125,31.580153,1234,4,47,1
20240906104023641,104.716125,31.580013,1234,4,47,0
20240906104024314,104.716177,31.579676,11109,227,47,0
20240906104024568,104.716187,31.579546,1234,3,47,0
20240906104025160,104.71624,31.579315,1234,3,47,0
20240906104025691,104.71624,31.5791,1234,3,47,0
20240906104027754,104.716293,31.578232,1234,3,47,0
20240906104028318,104.716347,31.578001,1234,3,47,0
20240906104028786,104.716347,31.577776,1234,3,47,0
20240906104029223,104.716347,31.577593,1234,3,47,0
20240906104029756,104.7164,31.577356,1242,3,47,0
20240906104030223,104.7164,31.577169,1242,3,47,0
20240906104030660,104.716454,31.57695,1234,3,47,0
20240906104031817,104.716461,31.576471,1234,3,47,0
20240906104033160,104.716515,31.575867,1234,3,47,0
20240906104035129,104.716614,31.575071,1242,3,47,0
20240906104035630,104.716621,31.574846,1242,3,47,0
20240906104037066,104.716667,31.574203,1242,3,47,0
20240906104040793,104.716721,31.57379,1242,3,47,0
20240906104042914,104.716909,31.571719,464,104,47,3
20240906104042914,104.716909,31.571719,464,104,47,3
20240906104043640,104.71701,31.571445,1242,5,46,0
20240906104044173,104.71701,31.571215,1242,5,46,0
20240906104044734,104.717041,31.570995,1242,5,46,0
20240906104045172,104.717102,31.570812,1242,5,46,0
20240906104045701,104.717102,31.570587,1242,5,46,0
20240906104048172,104.717224,31.569536,1242,5,46,0
20240906104048641,104.717278,31.569353,1242,5,46,0
20240906104048172,104.717224,31.569536,1242,5,46,0
20240906104048641,104.717278,31.569353,1242,5,46,0
20240906104051309,104.717278,31.569353,1242,5,7,0
20240906104050314,104.717365,31.568634,11109,225,46,0
20240906104053920,104.717278,31.569353,1242,5,7,0
20240906104055459,104.717679,31.566463,1239,65,46,0
20240906104055459,104.717679,31.566463,1239,65,46,0
20240906104055922,104.717278,31.569353,1242,5,7,0
20240906104057459,104.717801,31.565619,1238,5,46,0
20240906104057459,104.717801,31.565619,1238,5,46,0
20240906104057927,104.717278,31.569353,1242,5,7,0
20240906104059932,104.610825,32.280117,10447,11,78,4
20240906104100128,104.718018,31.564449,1234,6,46,0
20240906104100629,104.718056,31.56423,1234,6,46,0
20240906104107459,104.718475,31.561344,11109,224,46,0
20240906104110202,104.718544,31.560041,1226,4,48,0
20240906104121054,104.718872,31.556458,1234,4,47,0
20240906104122190,104.719093,31.554874,1234,4,47,0
20240906104123284,104.719147,31.55438,1234,4,47,0
20240906104128597,104.719368,31.55208,1226,4,47,0
20240906104130034,104.719482,31.551474,1226,4,47,0
20240906104132680,104.719482,31.551474,1226,4,0,0
20240906104132910,104.719627,31.550261,1226,5,47,0
20240906104133502,104.719627,31.549988,1226,5,47,0
20240906104134001,104.719704,31.549751,1226,5,47,0
20240906104136704,104.719849,31.548615,1234,5,46,0
20240906104139140,104.720009,31.547649,1234,5,45,2
20240906104140015,104.720024,31.547283,1242,5,45,2
20240906104140517,104.720062,31.547102,1242,6,43,2
20240906104141078,104.720116,31.546871,1242,6,43,2
20240906104143888,104.720337,31.545771,1242,6,43,0
20240906104145891,104.720497,31.54495,1234,7,44,0
20240906104148617,104.720497,31.54495,1234,7,44,0
20240906104150520,104.720497,31.54495,1234,7,44,0
20240906104152522,104.720497,31.54495,1234,7,44,0
20240906104152534,104.721031,31.542248,1234,8,44,0
20240906104153033,104.721077,31.542027,1234,8,44,0
20240906104155724,104.721077,31.542027,1234,8,0,0
20240906104159460,104.721629,31.539417,1229,8,44,0
20240906104159460,104.721629,31.539417,1229,8,44,0
20240906104159658,104.721512,31.539227,1234,6,46,0
20240906104201033,104.721619,31.538673,1226,6,46,0
20240906104202033,104.72168,31.538208,1226,6,47,0
